filename,anno_id,category,gt_text,ocr_text,similarity,timestamp
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,1,header,기술분석 2021-56,기술분석 2021-56,1.0,1773889168.8060186
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,2,header,이 보고서는 코스닥 기업에 대한 투자정보 확충을 위해 발간한 보고서입니다.,이 보고서는 코스닥 기업에 대한 투자정보 확충을 위해 발간한 보고서입니다.,1.0,1773889168.856889
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,3,header,2021.08.19,2021.08.19,1.0,1773889168.8890166
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,4,text_block,기술분석보고서,기술분석보고서,1.0,1773889168.9224527
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,6,text_block,YouTube 요약 영상 보러가기,Youlube 요약 영상 보러가기,0.9444444444444444,1773889168.960369
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,7,title,에프앤가이드(064850),에프9가이드(064850),0.9285714285714286,1773889169.0072298
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,8,text_block,기타서비스,기타서비스,1.0,1773889169.0396671
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,9,text_block,요 약,요약,0.8,1773889169.0738168
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,10,text_block,기업현황,기업현황,1.0,1773889169.1006362
CB00003_00001_04_기업보고서_기술분석보고서_기술분석 _기타서비스_에프앤가이드(064850)_종합금융정보 제공 전문기업_NICE평가정보.json,11,text_block,시장동향,시장동향,1.0,1773889169.1154497
